name	count	institution
Carnegie Mellon	(0)	Carnegie Mellon
Georgia Tech	(0)	Georgia Tech
Microsoft Research	(0)	Microsoft Research
University of Washington, Seattle	(0)	University of Washington, Seattle
Stanford	(0)	Stanford
University of California, Irvine	(0)	University of California, Irvine
Eindhoven University of Technology	(0)	Eindhoven University of Technology
Nokia	(0)	Nokia
University College London	(0)	University College London
Indiana University	(0)	Indiana University
University of California, Berkeley	(0)	University of California, Berkeley
Lancaster University	(0)	Lancaster University
University of Maryland	(0)	University of Maryland
University of Glasgow	(0)	University of Glasgow
Pennsylvania State University	(0)	Pennsylvania State University
University of Toronto	(0)	University of Toronto
Virginia Tech 	(0)	Virginia Tech 
University Michigan Ann Arbor	(0)	University Michigan Ann Arbor
IBM Thomas J. Watson Research Center 	(0)	IBM Thomas J. Watson Research Center 
University of Nottingham	(0)	University of Nottingham
Forlizzi, Jodi	(60)	Carnegie Mellon
Myers, Brad A.	(43)	Carnegie Mellon
Hudson, Scott E.	(42)	Carnegie Mellon
Zimmerman, John	(41)	Carnegie Mellon
John, Bonnie E.	(39)	Carnegie Mellon
Paulos, Eric	(35)	Carnegie Mellon
Mankoff, Jennifer	(33)	Carnegie Mellon
Dey, Anind K.	(32)	Carnegie Mellon
Kiesler, Sara	(25)	Carnegie Mellon
Cranor, Lorrie Faith	(20)	Carnegie Mellon
Odom, William	(19)	Carnegie Mellon
Harrison, Chris	(18)	Carnegie Mellon
Fussell, Susan R.	(17)	Carnegie Mellon
Myers, Brad	(17)	Carnegie Mellon
Pierce, James	(17)	Carnegie Mellon
Kittur, Aniket	(16)	Carnegie Mellon
Kuznetsov, Stacey	(15)	Carnegie Mellon
Hong, Jason	(14)	Carnegie Mellon
Christel, Michael G.	(13)	Carnegie Mellon
Sadeh, Norman	(13)	Carnegie Mellon
Kraut, Robert E.	(13)	Carnegie Mellon
Poupyrev, Ivan	(13)	Carnegie Mellon
Aleven, Vincent	(13)	Carnegie Mellon
Lee, Min Kyung	(13)	Carnegie Mellon
Dabbish, Laura	(12)	Carnegie Mellon
Kraut, Robert	(12)	Carnegie Mellon
Hong, Jason I.	(11)	Carnegie Mellon
Ko, Andrew J.	(11)	Carnegie Mellon
Faste, Haakon	(11)	Carnegie Mellon
Wobbrock, Jacob O.	(10)	Carnegie Mellon
Yang, Jie	(10)	Carnegie Mellon
Koedinger, Kenneth R.	(10)	Carnegie Mellon
DiSalvo, Carl	(10)	Carnegie Mellon
Hurst, Amy	(9)	Carnegie Mellon
Kim, Sunyoung	(9)	Carnegie Mellon
Dow, Steven	(9)	Carnegie Mellon
von Ahn, Luis	(9)	Carnegie Mellon
Dey, Anind	(9)	Carnegie Mellon
Banks, Richard	(9)	Carnegie Mellon
Willis, Karl D.D.	(9)	Carnegie Mellon
Kelley, Patrick Gage	(9)	Carnegie Mellon
Steinfeld, Aaron	(8)	Carnegie Mellon
Kam, Matthew	(8)	Carnegie Mellon
Bhavnani, Suresh K.	(8)	Carnegie Mellon
Gross, Mark D.	(8)	Carnegie Mellon
John, Bonnie	(8)	Carnegie Mellon
Lim, Brian Y.	(8)	Carnegie Mellon
Wiese, Jason	(8)	Carnegie Mellon
Shaw, Mary	(7)	Carnegie Mellon
Kostakos, Vassilis	(7)	Carnegie Mellon
Kirk, David	(7)	Carnegie Mellon
Oakley, Ian	(7)	Carnegie Mellon
Mutlu, Bilge	(7)	Carnegie Mellon
Hsieh, Gary	(7)	Carnegie Mellon
Bass, Len	(7)	Carnegie Mellon
Scaffidi, Christopher	(7)	Carnegie Mellon
Li, Ian	(7)	Carnegie Mellon
Landay, James A.	(6)	Carnegie Mellon
Acquisti, Alessandro	(6)	Carnegie Mellon
Tomasic, Anthony	(6)	Carnegie Mellon
Pinkwart, Niels	(6)	Carnegie Mellon
André, Paul	(6)	Carnegie Mellon
Pausch, Randy	(5)	Carnegie Mellon
Jennings, Pamela	(5)	Carnegie Mellon
Burnett, Margaret M.	(5)	Carnegie Mellon
Nichols, Jeffrey	(5)	Carnegie Mellon
Ou, Jiazhi	(5)	Carnegie Mellon
Dabbish, Laura A.	(5)	Carnegie Mellon
Davidoff, Scott	(5)	Carnegie Mellon
Harper, Richard	(5)	Carnegie Mellon
Hudson, Scott	(5)	Carnegie Mellon
Bauer, Lujo	(5)	Carnegie Mellon
Gweon, Gahgene	(5)	Carnegie Mellon
Evenson, Shelley	(5)	Carnegie Mellon
Rosé, Carolyn Penstein	(5)	Carnegie Mellon
Lynch, Collin	(5)	Carnegie Mellon
Kumar, Anuj	(5)	Carnegie Mellon
Ashley, Kevin	(5)	Carnegie Mellon
Hayashi, Eiji	(5)	Carnegie Mellon
Komanduri, Saranga	(5)	Carnegie Mellon
Dillahunt, Tawanna	(5)	Carnegie Mellon
Lin, Jialiu	(5)	Carnegie Mellon
Mazurek, Michelle L.	(5)	Carnegie Mellon
Abowd, Gregory D.	(4)	Carnegie Mellon
Zhang, Hui	(4)	Carnegie Mellon
Wiedenbeck, Susan	(4)	Carnegie Mellon
Rosson, Mary Beth	(4)	Carnegie Mellon
Avrahami, Daniel	(4)	Carnegie Mellon
Hirsch, Tad	(4)	Carnegie Mellon
Fogarty, James	(4)	Carnegie Mellon
Christin, Nicolas	(4)	Carnegie Mellon
Trewin, Shari	(4)	Carnegie Mellon
Stylos, Jeffrey	(4)	Carnegie Mellon
Siewiorek, Daniel P.	(4)	Carnegie Mellon
Miller, Robert C.	(4)	Carnegie Mellon
Oh, Lui Min	(4)	Carnegie Mellon
Golden, Elspeth	(4)	Carnegie Mellon
Tang, Karen P.	(4)	Carnegie Mellon
Lee, Joonhwan	(4)	Carnegie Mellon
Salvucci, Dario D.	(4)	Carnegie Mellon
Abowd, Gregory D.	(34)	Georgia Tech
Grinter, Rebecca E.	(17)	Georgia Tech
Edwards, W. Keith	(16)	Georgia Tech
Mynatt, Elizabeth D.	(15)	Georgia Tech
Starner, Thad	(14)	Georgia Tech
Hayes, Gillian R.	(11)	Georgia Tech
MacIntyre, Blair	(10)	Georgia Tech
Chetty, Marshini	(10)	Georgia Tech
Yardi, Sarita	(10)	Georgia Tech
Poole, Erika Shehan	(10)	Georgia Tech
Wyche, Susan P.	(9)	Georgia Tech
Brajnik, Giorgio	(8)	Georgia Tech
Dow, Steven	(8)	Georgia Tech
Guzdial, Mark	(8)	Georgia Tech
Bruckman, Amy	(8)	Georgia Tech
Kientz, Julie A.	(8)	Georgia Tech
Yarosh, Svetlana	(8)	Georgia Tech
McCrickard, D. Scott	(7)	Georgia Tech
Druin, Allison	(7)	Georgia Tech
Abowd, Gregory	(7)	Georgia Tech
Dey, Anind K.	(7)	Georgia Tech
Iachello, Giovanni	(7)	Georgia Tech
Sellen, Abigail	(7)	Georgia Tech
Myers, Brad A.	(6)	Georgia Tech
Stasko, John	(6)	Georgia Tech
Harper, Simon	(6)	Georgia Tech
Clawson, James	(6)	Georgia Tech
Harper, Richard	(6)	Georgia Tech
Sengers, Phoebe	(6)	Georgia Tech
Tan, Desney	(6)	Georgia Tech
Le Dantec, Christopher A.	(6)	Georgia Tech
Rosson, Mary Beth	(5)	Georgia Tech
Yesilada, Yeliz	(5)	Georgia Tech
Mateas, Michael	(5)	Georgia Tech
Lyons, Kent	(5)	Georgia Tech
Taylor, Alex S.	(5)	Georgia Tech
Truong, Khai N.	(5)	Georgia Tech
Rogers, Wendy A.	(5)	Georgia Tech
Gilbert, Eric	(5)	Georgia Tech
Bardzell, Shaowen	(5)	Georgia Tech
Brewster, Stephen	(4)	Georgia Tech
Carroll, John M.	(4)	Georgia Tech
Markopoulos, Panos	(4)	Georgia Tech
Rodden, Tom	(4)	Georgia Tech
Hudson, Scott E.	(4)	Georgia Tech
Simon, Rainer	(4)	Georgia Tech
Dix, Alan	(4)	Georgia Tech
Schmidt, Albrecht	(4)	Georgia Tech
Benford, Steve	(4)	Georgia Tech
Brewster, Stephen A.	(4)	Georgia Tech
Grudin, Jonathan	(4)	Georgia Tech
Greenberg, Saul	(4)	Georgia Tech
Czerwinski, Mary	(4)	Georgia Tech
Patel, Shwetak N.	(4)	Georgia Tech
Bolter, Jay David	(4)	Georgia Tech
Mankoff, Jennifer	(4)	Georgia Tech
Romero, Mario	(4)	Georgia Tech
Consolvo, Sunny	(4)	Georgia Tech
Smith, Ian	(4)	Georgia Tech
Kam, Matthew	(4)	Georgia Tech
Bellotti, Victoria	(4)	Georgia Tech
Scott, James	(4)	Georgia Tech
DiSalvo, Carl	(4)	Georgia Tech
Do, Ellen Yi-Luen	(4)	Georgia Tech
Bardzell, Jeffrey	(4)	Georgia Tech
Miller, Andrew D.	(4)	Georgia Tech
Boring, Sebastian	(4)	Georgia Tech
Dimond, Jill P.	(4)	Georgia Tech
Shneiderman, Ben	(3)	Georgia Tech
Plaue, Christopher	(3)	Georgia Tech
Pérez-Quiñones, Manuel A.	(3)	Georgia Tech
Horvitz, Eric	(3)	Georgia Tech
Rode, Jennifer A.	(3)	Georgia Tech
Crabtree, Andy	(3)	Georgia Tech
Kaye, Joseph 'Jofish'	(3)	Georgia Tech
Igarashi, Takeo	(3)	Georgia Tech
Toyama, Kentaro	(3)	Georgia Tech
Mahajan, Ratul	(3)	Georgia Tech
Catrambone, Richard	(3)	Georgia Tech
Carpendale, Sheelagh	(3)	Georgia Tech
Catarci, Tiziana	(3)	Georgia Tech
Plaisant, Catherine	(3)	Georgia Tech
Höök, Kristina	(3)	Georgia Tech
Foley, James D.	(3)	Georgia Tech
Dourish, Paul	(3)	Georgia Tech
Bouchet, Jullien	(3)	Georgia Tech
Nigay, Laurence	(3)	Georgia Tech
Oulasvirta, Antti	(3)	Georgia Tech
Jacko, Julie A.	(3)	Georgia Tech
Riekki, Jukka	(3)	Georgia Tech
Izadi, Shahram	(3)	Georgia Tech
Ducheneaut, Nicolas	(3)	Georgia Tech
Swan, Laurel	(3)	Georgia Tech
Lin, Bin	(3)	Georgia Tech
Miller, Robert C.	(3)	Georgia Tech
Lee, Bongshin	(3)	Georgia Tech
Perry, Mark	(3)	Georgia Tech
Tscheligi, Manfred	(3)	Georgia Tech
Newman, Mark W.	(3)	Georgia Tech
Tang, Anthony	(3)	Georgia Tech
Grudin, Jonathan	(28)	Microsoft Research
Czerwinski, Mary	(28)	Microsoft Research
Horvitz, Eric	(22)	Microsoft Research
Hinckley, Ken	(19)	Microsoft Research
Tan, Desney	(19)	Microsoft Research
White, Ryen W.	(18)	Microsoft Research
Cutrell, Edward	(18)	Microsoft Research
Morris, Meredith Ringel	(18)	Microsoft Research
Teevan, Jaime	(18)	Microsoft Research
Benko, Hrvoje	(16)	Microsoft Research
Morris, Dan	(14)	Microsoft Research
Tan, Desney S.	(14)	Microsoft Research
Lee, Bongshin	(13)	Microsoft Research
Counts, Scott	(13)	Microsoft Research
Wilson, Andrew D.	(12)	Microsoft Research
Baudisch, Patrick	(10)	Microsoft Research
Paek, Tim	(10)	Microsoft Research
Robertson, George	(10)	Microsoft Research
Smith, Greg	(10)	Microsoft Research
Brush, A.J. Bernheim	(9)	Microsoft Research
Balakrishnan, Ravin	(7)	Microsoft Research
Dumais, Susan T.	(7)	Microsoft Research
Karlson, Amy K.	(7)	Microsoft Research
Drucker, Steven M.	(7)	Microsoft Research
Agrawala, Maneesh	(6)	Microsoft Research
Fisher, Danyel	(6)	Microsoft Research
Buxton, Bill	(6)	Microsoft Research
Iqbal, Shamsi T.	(6)	Microsoft Research
Inkpen, Kori	(6)	Microsoft Research
Brush, A. J. Bernheim	(6)	Microsoft Research
Meyers, Brian	(6)	Microsoft Research
Scott, James	(6)	Microsoft Research
Venolia, Gina	(6)	Microsoft Research
Inkpen, Kori M.	(5)	Microsoft Research
Sarin, Raman	(5)	Microsoft Research
Cao, Xiang	(5)	Microsoft Research
Saponas, T. Scott	(5)	Microsoft Research
Tunkelang, Daniel	(5)	Microsoft Research
Tang, John C.	(5)	Microsoft Research
Gulwani, Sumit	(5)	Microsoft Research
Sinclair, Mike	(5)	Microsoft Research
Kules, Bill	(5)	Microsoft Research
André, Paul	(5)	Microsoft Research
Capra, Robert	(5)	Microsoft Research
De Choudhury, Munmun	(5)	Microsoft Research
Robertson, George G.	(4)	Microsoft Research
Wobbrock, Jacob O.	(4)	Microsoft Research
Hutchings, Dugald Ralph	(4)	Microsoft Research
Toyama, Kentaro	(4)	Microsoft Research
Mahajan, Ratul	(4)	Microsoft Research
Thies, William	(4)	Microsoft Research
Wigdor, Daniel	(4)	Microsoft Research
Patel, Shwetak N.	(4)	Microsoft Research
Villar, Nicolas	(4)	Microsoft Research
Sellen, Abigail	(4)	Microsoft Research
Brush, A. J.	(4)	Microsoft Research
Zhang, Zhengyou	(4)	Microsoft Research
Smith, Catherine L.	(4)	Microsoft Research
Smith, Marc	(4)	Microsoft Research
schraefel, m.c.	(4)	Microsoft Research
Roseway, Asta	(4)	Microsoft Research
Banks, Richard	(4)	Microsoft Research
Monroy-Hernández, Andrés	(4)	Microsoft Research
Hoff, Aaron	(4)	Microsoft Research
Johns, Paul	(4)	Microsoft Research
Henry Riche, Nathalie	(4)	Microsoft Research
Czerwinski, Mary P.	(3)	Microsoft Research
Bederson, Benjamin B.	(3)	Microsoft Research
Stasko, John	(3)	Microsoft Research
Salesin, David	(3)	Microsoft Research
Dumais, Susan	(3)	Microsoft Research
Cohen, Michael	(3)	Microsoft Research
Jacobs, Charles	(3)	Microsoft Research
Golovchinsky, Gene	(3)	Microsoft Research
Marshall, Catherine C.	(3)	Microsoft Research
Ishii, Hiroshi	(3)	Microsoft Research
Drucker, Steven	(3)	Microsoft Research
Yuan, Junsong	(3)	Microsoft Research
Jung, Jaeyeon	(3)	Microsoft Research
Moscovich, Tomer	(3)	Microsoft Research
Izadi, Shahram	(3)	Microsoft Research
Shilman, Michael	(3)	Microsoft Research
Chetty, Marshini	(3)	Microsoft Research
Oliver, Nuria	(3)	Microsoft Research
Consolvo, Sunny	(3)	Microsoft Research
Guimbretiere, Francois	(3)	Microsoft Research
Ramos, Gonzalo	(3)	Microsoft Research
Jones, William	(3)	Microsoft Research
Farnham, Shelly	(3)	Microsoft Research
Neustaedter, Carman	(3)	Microsoft Research
Saroiu, Stefan	(3)	Microsoft Research
Krumm, John	(3)	Microsoft Research
Gupta, Anoop	(3)	Microsoft Research
Robbins, Daniel	(3)	Microsoft Research
Adar, Eytan	(3)	Microsoft Research
Rui, Yong	(3)	Microsoft Research
Donner, Jonathan	(3)	Microsoft Research
Robbins, Daniel C.	(3)	Microsoft Research
Egelman, Serge	(3)	Microsoft Research
Bragdon, Andrew	(3)	Microsoft Research
Wobbrock, Jacob O.	(35)	University of Washington, Seattle
Friedman, Batya	(20)	University of Washington, Seattle
Kientz, Julie A.	(17)	University of Washington, Seattle
Landay, James A.	(15)	University of Washington, Seattle
Patel, Shwetak N.	(14)	University of Washington, Seattle
Borriello, Gaetano	(13)	University of Washington, Seattle
Ko, Andrew J.	(13)	University of Washington, Seattle
Consolvo, Sunny	(13)	University of Washington, Seattle
Fogarty, James	(12)	University of Washington, Seattle
Borning, Alan	(11)	University of Washington, Seattle
Froehlich, Jon	(11)	University of Washington, Seattle
Findlater, Leah	(10)	University of Washington, Seattle
Jones, William	(10)	University of Washington, Seattle
McDonald, David W.	(9)	University of Washington, Seattle
Pratt, Wanda	(9)	University of Washington, Seattle
Myers, Brad A.	(8)	University of Washington, Seattle
Hendry, David G.	(8)	University of Washington, Seattle
Wobbrock, Jacob	(8)	University of Washington, Seattle
Nathan, Lisa P.	(8)	University of Washington, Seattle
Choe, Eun Kyoung	(8)	University of Washington, Seattle
Gupta, Sidhant	(8)	University of Washington, Seattle
Tan, Desney S.	(7)	University of Washington, Seattle
Kriplean, Travis	(7)	University of Washington, Seattle
Klasnja, Predrag	(7)	University of Washington, Seattle
Ladner, Richard E.	(6)	University of Washington, Seattle
Li, Yang	(6)	University of Washington, Seattle
Kolko, Beth	(6)	University of Washington, Seattle
Zachry, Mark	(6)	University of Washington, Seattle
Kane, Shaun K.	(6)	University of Washington, Seattle
Chilana, Parmit K.	(6)	University of Washington, Seattle
Woelfer, Jill Palzkill	(6)	University of Washington, Seattle
Harrison, Beverly	(5)	University of Washington, Seattle
Larson, Eric	(5)	University of Washington, Seattle
Shinohara, Kristen	(5)	University of Washington, Seattle
Lee, Charlotte P.	(5)	University of Washington, Seattle
Parikh, Tapan	(5)	University of Washington, Seattle
Patel, Shwetak	(5)	University of Washington, Seattle
Morgan, Jonathan T.	(5)	University of Washington, Seattle
Jansen, Alex	(5)	University of Washington, Seattle
Goel, Mayank	(5)	University of Washington, Seattle
Abowd, Gregory D.	(4)	University of Washington, Seattle
Cutrell, Edward	(4)	University of Washington, Seattle
Rosson, Mary Beth	(4)	University of Washington, Seattle
Liu, Alan L.	(4)	University of Washington, Seattle
Hirsch, Tad	(4)	University of Washington, Seattle
Brunette, Waylon	(4)	University of Washington, Seattle
Morris, Dan	(4)	University of Washington, Seattle
Guan, Zhiwei	(4)	University of Washington, Seattle
